k_over_T,E_over_T,Gamma_LPM_occ_over_T,Gamma_hard_occ_over_T,Gamma_total_occ_over_T,ImPiR_onshell_over_T2
1.4103497790511546,1.4768586592052877,0.00077504518325103,0.0018986832249158424,0.0026737284081668725,-0.003948718951964416
1.493774794718141,1.556723526299781,0.0007601154735732271,0.0018879442383846143,0.002648059711957841,-0.004122296852651392
1.582134567239358,1.6416987509447862,0.000744890245289865,0.001874211818808856,0.002619102064098721,-0.004299776587227782
1.6757209973716216,1.7320698199068485,0.0007294002762047106,0.0018584854933061357,0.0025878857695108464,-0.004482398838736148
1.7748432523864561,1.8281393739378116,0.0007137251508858651,0.0018413977922128748,0.0025551229430987397,-0.004671120857530669
1.8798287874190482,1.9302282947903777,0.000697825693134215,0.0018220698341558502,0.002519895527290065,-0.0048639736466910026
1.9910244272320266,2.038676842914202,0.0006816732368675087,0.0018003906140144359,0.0024820638508819444,-0.00506012609542747
2.1087975119677376,2.153845850213362,0.0006653924879289186,0.0017759202312364725,0.002441312719165391,-0.005258211269247476
2.233537110674073,2.276117972504564,0.0006490559067415475,0.0017481237568430122,0.00239717966358456,-0.005456263715607261
2.3656553066127697,2.4058990065472736,0.0006325209370606392,0.0017179863428116507,0.00235050727987229,-0.005655083129526876
2.5055885585962834,2.543619276733175,0.0006159362080683094,0.0016864404646449477,0.002302376672713257,-0.0058563696870142295
2.653799142850457,2.689735096732357,0.0005995065076151987,0.0016527791108344378,0.0022522856184496367,-0.00605805167580953
2.8107766801662564,2.84473031160538,0.0005830607190158059,0.0016170726144013523,0.0022001333334171584,-0.006258785983145177
2.977039753385602,3.0091179261102754,0.0005666593805268515,0.0015792130117869014,0.0021458723923137527,-0.006457183082856455
3.15313762056471,3.183441825166667,0.0005505757820632739,0.001538599267696722,0.002089175049759996,-0.006650767233500624
3.3396520294744936,3.3682785926899075,0.0005348281425778745,0.001496792709618127,0.0020316208521960017,-0.006843065024914219
3.5371991394323037,3.5642394352793736,0.000519230002742845,0.0014557331490899304,0.0019749631518327752,-0.007039241548986022
