N,f_over_Mpl,f_GeV,epsilon,d_g,eta_peak,M_GeV,TR_GeV,m_eV,Omega_h2,slope
6,1.687023975571048e-06,4107903380515.502,4.554964734041831e-11,1e-06,3.628703615743124,5937.924938993707,593792.4938993707,7.5e-29,6.555855359618287e-14,0.49999999999999994
8,2.3829847041728475e-06,5802567754660.884,8.406502812915652e-11,1e-06,3.3564628231592737,611577706.5725387,61157770657.253876,7.5e-29,7.357866267056142e-14,0.3826834323650898
6,1.8928720334405836e-06,4609143401427.821,5.1107544902895765e-11,1e-06,3.2340855017403674,5292.181172445896,529218.1172445896,7.5e-29,8.253332908270476e-14,0.49999999999999994
8,2.6737528144012385e-06,6510588103067.016,9.432251292232724e-11,1e-06,2.991450639951745,514578511.0486452,51457851104.86452,7.5e-29,9.263004820180057e-14,0.3826834323650898
6,2.123837353152417e-06,5171543954926.136,5.734360853511527e-11,1e-06,2.8823817374308494,4716.661434716153,471666.14347161533,7.5e-29,1.0390330530218753e-13,0.49999999999999994
8,3.000000000000001e-06,7305000000000.002,1.0583160015498653e-10,1e-06,2.666133189237787,432963859.1913487,43296385919.134865,7.5e-29,1.1661432157696524e-13,0.3826834323650898
6,2.3829847041728475e-06,5802567754660.884,6.434058701266689e-11,1e-06,2.5689254275448206,4203.72892855003,420372.892855003,7.5e-29,1.3080651141433144e-13,0.49999999999999994
8,3.366055362905897e-06,8196344808675.859,1.1874500842220164e-10,1e-06,2.3761937060976885,364293687.6315541,36429368763.15541,7.5e-29,1.4680873281237891e-13,0.3826834323650898
6,2.6737528144012385e-06,6510588103067.016,7.219132598883345e-11,1e-06,2.289557197294956,3746.5773512301816,374657.73512301815,7.5e-29,1.646756412476454e-13,0.49999999999999994
8,3.7767762353825077e-06,9196450133156.406,1.3323409080595225e-10,1e-06,2.1177848697470667,306514938.90520215,30651493890.520214,7.5e-29,1.8482124441080381e-13,0.3826834323650898
6,3.000000000000001e-06,7305000000000.002,8.100000000000004e-11,1e-06,2.04057,3339.140579074544,333914.0579074544,7.5e-29,2.073143494701604e-13,0.49999999999999994
